Customer,Total_Revenue,FinancialYear,Quarter,Month,BU,GM%
A&W,0.0013,FY26,Q1,Apr,,
A&W,0.0013,FY26,Q1,May,,
A&W,0.0013,FY26,Q1,Jun,,
Aareon,0.0726,FY26,Q1,Apr,EU,0.6380112704979537
Aareon,0.0748,FY26,Q1,May,EU,0.6380112704979537
Aareon,0.0726,FY26,Q1,Jun,EU,0.6380112704979537
ABFRL,0.15,FY26,Q1,Apr,US RMD,0.16555711023275044
ABFRL,0.14,FY26,Q1,May,US RMD,0.16555711023275044
ABFRL,0.14,FY26,Q1,Jun,US RMD,0.16555711023275044
Accutech Digital Consulting LLC,0.0,FY26,Q1,Apr,,
Accutech Digital Consulting LLC,0.0,FY26,Q1,May,,
Accutech Digital Consulting LLC,0.0,FY26,Q1,Jun,,
ACTS,0.03562,FY26,Q1,Apr,US TMTE,0.47147508
ACTS,0.0432,FY26,Q1,May,US TMTE,0.47147508
ACTS,0.0396,FY26,Q1,Jun,US TMTE,0.47147508
Advance Auto Parts (AAP),0.0,FY26,Q1,Apr,,
Advance Auto Parts (AAP),0.0,FY26,Q1,May,,
Advance Auto Parts (AAP),0.0,FY26,Q1,Jun,,
AI Chatbot License,0.0,FY26,Q1,Apr,,
AI Chatbot License,0.0,FY26,Q1,May,,
AI Chatbot License,0.0,FY26,Q1,Jun,,
Airlife,0.2,FY26,Q1,Apr,,
Airlife,0.2,FY26,Q1,May,,
Airlife,0.15,FY26,Q1,Jun,,
Aledade,0.066,FY26,Q1,Apr,,
Aledade,0.048,FY26,Q1,May,,
Aledade,0.046,FY26,Q1,Jun,,
Allied Pinnacle,0.0047,FY26,Q1,Apr,,
Allied Pinnacle,0.002,FY26,Q1,May,,
Allied Pinnacle,0.002,FY26,Q1,Jun,,
AllTech,0.04,FY26,Q1,Apr,,
AllTech,0.04,FY26,Q1,May,,
AllTech,0.04,FY26,Q1,Jun,,
Alpha Luna,0.015,FY26,Q1,Apr,US RMD,0.5131077375
Alpha Luna,0.015,FY26,Q1,May,US RMD,0.5131077375
Alpha Luna,0.015,FY26,Q1,Jun,US RMD,0.5131077375
Alteon Health,0.0,FY26,Q1,Apr,US HLS,0.0
Alteon Health,0.0,FY26,Q1,May,US HLS,0.0
Alteon Health,0.0,FY26,Q1,Jun,US HLS,0.0
Amalgamated Bank,0.0,FY26,Q1,Apr,US BFSI,0.0
Amalgamated Bank,0.0,FY26,Q1,May,US BFSI,0.0
Amalgamated Bank,0.0,FY26,Q1,Jun,US BFSI,0.0
Amazon Australia & Japan Ecom,0.0014,FY26,Q1,Apr,,
Amazon Australia & Japan Ecom,0.0014,FY26,Q1,May,,
Amazon Australia & Japan Ecom,0.0214,FY26,Q1,Jun,,
Amazon Fresh,0.0,FY26,Q1,Apr,,
Amazon Fresh,0.0,FY26,Q1,May,,
Amazon Fresh,0.0,FY26,Q1,Jun,,
Amex,0.0638,FY26,Q1,Apr,,
Amex,0.0657,FY26,Q1,May,,
Amex,0.0638,FY26,Q1,Jun,,
Ammega Group,0.25,FY26,Q1,Apr,EU,0.49334363281993043
Ammega Group,0.25,FY26,Q1,May,EU,0.49334363281993043
Ammega Group,0.25,FY26,Q1,Jun,EU,0.49334363281993043
API,0.0026,FY26,Q1,Apr,,
API,0.0027,FY26,Q1,May,,
API,0.0026,FY26,Q1,Jun,,
Apogee Corporation,0.0,FY26,Q1,Apr,UK IRELAND,0.4739831079355208
Apogee Corporation,0.0,FY26,Q1,May,UK IRELAND,0.4739831079355208
Apogee Corporation,0.0,FY26,Q1,Jun,UK IRELAND,0.4739831079355208
AppianRX,0.0,FY26,Q1,Apr,,
AppianRX,0.0,FY26,Q1,May,,
AppianRX,0.0,FY26,Q1,Jun,,
Apple,0.0,FY26,Q1,Apr,,
Apple,0.1855,FY26,Q1,May,,
Apple,0.1855,FY26,Q1,Jun,,
Applied Systems,0.0,FY26,Q1,Apr,US TMTE,-inf
Applied Systems,0.0,FY26,Q1,May,US TMTE,-inf
Applied Systems,0.0,FY26,Q1,Jun,US TMTE,-inf
Aquent,0.062406144,FY26,Q1,Apr,US TMTE,0.4289522944444445
Aquent,0.069617952,FY26,Q1,May,US TMTE,0.4289522944444445
Aquent,0.06882408,FY26,Q1,Jun,US TMTE,0.4289522944444445
Arbor Pharmaceuticals,0.0,FY26,Q1,Apr,,
Arbor Pharmaceuticals,0.0,FY26,Q1,May,,
Arbor Pharmaceuticals,0.0,FY26,Q1,Jun,,
Aristocrat Technologies,0.008,FY26,Q1,Apr,US TMTE,0.4499839076821682
Aristocrat Technologies,0.003,FY26,Q1,May,US TMTE,0.4499839076821682
Aristocrat Technologies,0.013,FY26,Q1,Jun,US TMTE,0.4499839076821682
ARTIN Solutions,0.0092,FY26,Q1,Apr,EU,0.5108260376527731
ARTIN Solutions,0.0095,FY26,Q1,May,EU,0.5108260376527731
ARTIN Solutions,0.0092,FY26,Q1,Jun,EU,0.5108260376527731
Assa Abloy,0.0,FY26,Q1,Apr,EU,-inf
Assa Abloy,0.0,FY26,Q1,May,EU,-inf
Assa Abloy,0.0,FY26,Q1,Jun,EU,-inf
Assa Abloy ANZ,0.15,FY26,Q1,Apr,ANZ,0.469241796
Assa Abloy ANZ,0.0,FY26,Q1,May,ANZ,0.469241796
Assa Abloy ANZ,0.0,FY26,Q1,Jun,ANZ,0.469241796
AstraZeneca,0.0,FY26,Q1,Apr,US HLS,0.0
AstraZeneca,0.0,FY26,Q1,May,US HLS,0.0
AstraZeneca,0.0,FY26,Q1,Jun,US HLS,0.0
Audax Management,0.0,FY26,Q1,Apr,,
Audax Management,0.0,FY26,Q1,May,,
Audax Management,0.0,FY26,Q1,Jun,,
Ausreo,0.0551,FY26,Q1,Apr,,
Ausreo,0.0025,FY26,Q1,May,,
Ausreo,0.0025,FY26,Q1,Jun,,
Australia Post (AFSL) MS,0.004,FY26,Q1,Apr,,
Australia Post (AFSL) MS,0.0041,FY26,Q1,May,,
Australia Post (AFSL) MS,0.01,FY26,Q1,Jun,,
Avery Dennison,0.0,FY26,Q1,Apr,,
Avery Dennison,0.0,FY26,Q1,May,,
Avery Dennison,0.0,FY26,Q1,Jun,,
Bakers Delight,0.0,FY26,Q1,Apr,,
Bakers Delight,0.0,FY26,Q1,May,,
Bakers Delight,0.0,FY26,Q1,Jun,,
Bayer,0.0,FY26,Q1,Apr,UK IRELAND,0.4364919266666667
Bayer,0.0,FY26,Q1,May,UK IRELAND,0.4364919266666667
Bayer,0.0,FY26,Q1,Jun,UK IRELAND,0.4364919266666667
BCBS_LA ,0.1122,FY26,Q1,Apr,,
BCBS_LA ,0.1156,FY26,Q1,May,,
BCBS_LA ,0.1122,FY26,Q1,Jun,,
BenBridge,0.066,FY26,Q1,Apr,,
BenBridge,0.068,FY26,Q1,May,,
BenBridge,0.066,FY26,Q1,Jun,,
Berry Global,0.2258,FY26,Q1,Apr,UK IRELAND,0.523885584303541
Berry Global,0.1139,FY26,Q1,May,UK IRELAND,0.523885584303541
Berry Global,0.1106,FY26,Q1,Jun,UK IRELAND,0.523885584303541
BHPetrol Malaysia,0.0043,FY26,Q1,Apr,,
BHPetrol Malaysia,0.0044,FY26,Q1,May,,
BHPetrol Malaysia,0.0043,FY26,Q1,Jun,,
Biomatrix,0.016,FY26,Q1,Apr,,
Biomatrix,0.018,FY26,Q1,May,,
Biomatrix,0.016,FY26,Q1,Jun,,
Bluechip International ,0.0116,FY26,Q1,Apr,ANZ,0.34025084182259924
Bluechip International ,0.0,FY26,Q1,May,ANZ,0.34025084182259924
Bluechip International ,0.0,FY26,Q1,Jun,ANZ,0.34025084182259924
Bluecrest,0.0,FY26,Q1,Apr,,
Bluecrest,0.0,FY26,Q1,May,,
Bluecrest,0.0,FY26,Q1,Jun,,
Blueleaf Energy,0.023,FY26,Q1,Apr,EU,0.34850909607987707
Blueleaf Energy,0.028,FY26,Q1,May,EU,0.34850909607987707
Blueleaf Energy,0.0,FY26,Q1,Jun,EU,0.34850909607987707
Bluestem Brands,0.9801,FY26,Q1,Apr,US RMD,0.43228496575757575
Bluestem Brands,1.0098,FY26,Q1,May,US RMD,0.43228496575757575
Bluestem Brands,0.9801,FY26,Q1,Jun,US RMD,0.43228496575757575
BUS QLD,0.0001,FY26,Q1,Apr,ANZ,0.4799999999999999
BUS QLD,0.0001,FY26,Q1,May,ANZ,0.4799999999999999
BUS QLD,0.0001,FY26,Q1,Jun,ANZ,0.4799999999999999
Cajun,0.0446,FY26,Q1,Apr,,
Cajun,0.0539,FY26,Q1,May,,
Cajun,0.0599,FY26,Q1,Jun,,
Caravel Autism Health,0.026,FY26,Q1,Apr,US HLS,0.16639222972972975
Caravel Autism Health,0.0261,FY26,Q1,May,US HLS,0.16639222972972975
Caravel Autism Health,0.026,FY26,Q1,Jun,US HLS,0.16639222972972975
Cardtronics Helpdesk,0.0026,FY26,Q1,Apr,,
Cardtronics Helpdesk,0.0,FY26,Q1,May,,
Cardtronics Helpdesk,0.0,FY26,Q1,Jun,,
Carmax,0.0,FY26,Q1,Apr,,
Carmax,0.0,FY26,Q1,May,,
Carmax,0.0,FY26,Q1,Jun,,
Carshield,0.0,FY26,Q1,Apr,US BFSI,0.0
Carshield,0.0,FY26,Q1,May,US BFSI,0.0
Carshield,0.0,FY26,Q1,Jun,US BFSI,0.0
Castlegate James,0.0027,FY26,Q1,Apr,,
Castlegate James,0.0,FY26,Q1,May,,
Castlegate James,0.0,FY26,Q1,Jun,,
Cat Rock Capital,0.0,FY26,Q1,Apr,,
Cat Rock Capital,0.0,FY26,Q1,May,,
Cat Rock Capital,0.0,FY26,Q1,Jun,,
Cheetham Salt,0.02768,FY26,Q1,Apr,ANZ,0.373177502929521
Cheetham Salt,0.005,FY26,Q1,May,ANZ,0.373177502929521
Cheetham Salt,0.005,FY26,Q1,Jun,ANZ,0.373177502929521
Chemist Warehouse,0.0172,FY26,Q1,Apr,ANZ,0.0
Chemist Warehouse,0.0177,FY26,Q1,May,ANZ,0.0
Chemist Warehouse,0.0172,FY26,Q1,Jun,ANZ,0.0
Cherry America,0.0043,FY26,Q1,Apr,US RMD,0.6113738
Cherry America,0.0044,FY26,Q1,May,US RMD,0.6113738
Cherry America,0.0043,FY26,Q1,Jun,US RMD,0.6113738
Children's Health Queensland,0.0,FY26,Q1,Apr,,
Children's Health Queensland,0.0,FY26,Q1,May,,
Children's Health Queensland,0.0,FY26,Q1,Jun,,
Christian Dior,0.0,FY26,Q1,Apr,,
Christian Dior,0.0,FY26,Q1,May,,
Christian Dior,0.0,FY26,Q1,Jun,,
Cloud 3 Technologies,0.00959175,FY26,Q1,Apr,US TMTE,0.5919424333333334
Cloud 3 Technologies,0.0100485,FY26,Q1,May,US TMTE,0.5919424333333334
Cloud 3 Technologies,0.009135,FY26,Q1,Jun,US TMTE,0.5919424333333334
CloudLex,0.006,FY26,Q1,Apr,,
CloudLex,0.006,FY26,Q1,May,,
CloudLex,0.0066,FY26,Q1,Jun,,
CMC,0.1549,FY26,Q1,Apr,US RMD,0.7367035377777778
CMC,0.1614,FY26,Q1,May,US RMD,0.7367035377777778
CMC,0.1485,FY26,Q1,Jun,US RMD,0.7367035377777778
Cobs Bread,0.0056,FY26,Q1,Apr,,
Cobs Bread,0.0057,FY26,Q1,May,,
Cobs Bread,0.0056,FY26,Q1,Jun,,
Coca Cola,0.0,FY26,Q1,Apr,,
Coca Cola,0.0,FY26,Q1,May,,
Coca Cola,0.0,FY26,Q1,Jun,,
Cohu,0.0,FY26,Q1,Apr,,
Cohu,0.0,FY26,Q1,May,,
Cohu,0.0,FY26,Q1,Jun,,
Computacenter India,0.021,FY26,Q1,Apr,UK IRELAND,0.3499809857428717
Computacenter India,0.021,FY26,Q1,May,UK IRELAND,0.3499809857428717
Computacenter India,0.027,FY26,Q1,Jun,UK IRELAND,0.3499809857428717
Computacenter UK,0.3,FY26,Q1,Apr,UK IRELAND,0.6188577075693462
Computacenter UK,0.235,FY26,Q1,May,UK IRELAND,0.6188577075693462
Computacenter UK,0.23,FY26,Q1,Jun,UK IRELAND,0.6188577075693462
Conde Nast,0.0,FY26,Q1,Apr,,
Conde Nast,0.0,FY26,Q1,May,,
Conde Nast,0.0,FY26,Q1,Jun,,
Cornerstone on Demand,0.113184,FY26,Q1,Apr,US TMTE,0.4462075833333334
Cornerstone on Demand,0.1346692,FY26,Q1,May,US TMTE,0.4462075833333334
Cornerstone on Demand,0.105084,FY26,Q1,Jun,US TMTE,0.4462075833333334
Correct Care Solutions,0.646,FY26,Q1,Apr,US HLS,0.46738715074626874
Correct Care Solutions,0.656,FY26,Q1,May,US HLS,0.46738715074626874
Correct Care Solutions,0.656,FY26,Q1,Jun,US HLS,0.46738715074626874
Coyuchi,0.0043,FY26,Q1,Apr,,
Coyuchi,0.0044,FY26,Q1,May,,
Coyuchi,0.0043,FY26,Q1,Jun,,
CPL Aromas,0.442,FY26,Q1,Apr,UK IRELAND,0.5247071072056009
CPL Aromas,0.08,FY26,Q1,May,UK IRELAND,0.5247071072056009
CPL Aromas,0.07,FY26,Q1,Jun,UK IRELAND,0.5247071072056009
CPS Solutions,0.5692,FY26,Q1,Apr,US HLS,0.30087097014925374
CPS Solutions,0.5116,FY26,Q1,May,US HLS,0.30087097014925374
CPS Solutions,0.5192,FY26,Q1,Jun,US HLS,0.30087097014925374
Crowley,0.0,FY26,Q1,Apr,,
Crowley,0.0,FY26,Q1,May,,
Crowley,0.0,FY26,Q1,Jun,,
Crunchyroll,0.0066,FY26,Q1,Apr,,
Crunchyroll,0.0068,FY26,Q1,May,,
Crunchyroll,0.0066,FY26,Q1,Jun,,
CSL Behring,0.005,FY26,Q1,Apr,US HLS,0.602294
CSL Behring,0.0051,FY26,Q1,May,US HLS,0.602294
CSL Behring,0.005,FY26,Q1,Jun,US HLS,0.602294
CVS,0.0,FY26,Q1,Apr,,
CVS,0.0,FY26,Q1,May,,
CVS,0.0,FY26,Q1,Jun,,
Daltron,0.06,FY26,Q1,Apr,ANZ,0.42929428424254634
Daltron,0.0,FY26,Q1,May,ANZ,0.42929428424254634
Daltron,0.0,FY26,Q1,Jun,ANZ,0.42929428424254634
Danish Agro,0.1149,FY26,Q1,Apr,EU,0.7074660384615384
Danish Agro,0.0122,FY26,Q1,May,EU,0.7074660384615384
Danish Agro,0.0119,FY26,Q1,Jun,EU,0.7074660384615384
Deaf Services Queensland,0.0282,FY26,Q1,Apr,ANZ,0.3228731334401369
Deaf Services Queensland,0.0,FY26,Q1,May,ANZ,0.3228731334401369
Deaf Services Queensland,0.0,FY26,Q1,Jun,ANZ,0.3228731334401369
Dell - India,0.03,FY26,Q1,Apr,APAC,0.0
Dell - India,0.02,FY26,Q1,May,APAC,0.0
Dell - India,0.03,FY26,Q1,Jun,APAC,0.0
Dentsu,0.0,FY26,Q1,Apr,US RMD,0.4999853839873553
Dentsu,0.0,FY26,Q1,May,US RMD,0.4999853839873553
Dentsu,0.0,FY26,Q1,Jun,US RMD,0.4999853839873553
Deutsche Telekom,0.0413,FY26,Q1,Apr,EU,0.5695269180792757
Deutsche Telekom,0.0425,FY26,Q1,May,EU,0.5695269180792757
Deutsche Telekom,0.0488,FY26,Q1,Jun,EU,0.5695269180792757
DISA,0.0024,FY26,Q1,Apr,,
DISA,0.0025,FY26,Q1,May,,
DISA,0.0024,FY26,Q1,Jun,,
DMI,0.005,FY26,Q1,Apr,US HLS,0.0
DMI,0.0051,FY26,Q1,May,US HLS,0.0
DMI,0.005,FY26,Q1,Jun,US HLS,0.0
Dominos Pizza,0.637,FY26,Q1,Apr,UK IRELAND,0.7148242638900822
Dominos Pizza,0.0,FY26,Q1,May,UK IRELAND,0.7148242638900822
Dominos Pizza,0.0,FY26,Q1,Jun,UK IRELAND,0.7148242638900822
Dynamic Fit Alliance Automation,0.0,FY26,Q1,Apr,,
Dynamic Fit Alliance Automation,0.0,FY26,Q1,May,,
Dynamic Fit Alliance Automation,0.0,FY26,Q1,Jun,,
EBOS Group,0.015,FY26,Q1,Apr,,
EBOS Group,0.0,FY26,Q1,May,,
EBOS Group,0.0,FY26,Q1,Jun,,
Edison Energy,0.0,FY26,Q1,Apr,US TMTE,0.0
Edison Energy,0.0,FY26,Q1,May,US TMTE,0.0
Edison Energy,0.0,FY26,Q1,Jun,US TMTE,0.0
Elevance health,0.033,FY26,Q1,Apr,US HLS,0.48216018
Elevance health,0.034,FY26,Q1,May,US HLS,0.48216018
Elevance health,0.033,FY26,Q1,Jun,US HLS,0.48216018
Elevate,0.0,FY26,Q1,Apr,US HLS,0.0
Elevate,0.0,FY26,Q1,May,US HLS,0.0
Elevate,0.0,FY26,Q1,Jun,US HLS,0.0
Endeavor Group,0.0,FY26,Q1,Apr,,
Endeavor Group,0.0,FY26,Q1,May,,
Endeavor Group,0.0,FY26,Q1,Jun,,
ENGEN Africa,0.0132,FY26,Q1,Apr,,
ENGEN Africa,0.0136,FY26,Q1,May,,
ENGEN Africa,0.0132,FY26,Q1,Jun,,
ENOVIX CORPORATION,0.00375,FY26,Q1,Apr,,
ENOVIX CORPORATION,0.00375,FY26,Q1,May,,
ENOVIX CORPORATION,0.00375,FY26,Q1,Jun,,
Enviva,0.0,FY26,Q1,Apr,,
Enviva,0.0,FY26,Q1,May,,
Enviva,0.0,FY26,Q1,Jun,,
Epicor,0.204971428571429,FY26,Q1,Apr,US TMTE,0.46563889558704397
Epicor,0.210796948051948,FY26,Q1,May,US TMTE,0.46563889558704397
Epicor,0.15544,FY26,Q1,Jun,US TMTE,0.46563889558704397
ETrawler,0.0768,FY26,Q1,Apr,,
ETrawler,0.0024,FY26,Q1,May,,
ETrawler,0.0023,FY26,Q1,Jun,,
Everest,0.0176,FY26,Q1,Apr,,
Everest,0.0168,FY26,Q1,May,,
Everest,0.016,FY26,Q1,Jun,,
Expanse Electrical Company,0.0038,FY26,Q1,Apr,,
Expanse Electrical Company,0.0038,FY26,Q1,May,,
Expanse Electrical Company,0.0038,FY26,Q1,Jun,,
Expedia,0.0,FY26,Q1,Apr,,
Expedia,0.0,FY26,Q1,May,,
Expedia,0.0,FY26,Q1,Jun,,
EYGBS,0.0615,FY26,Q1,Apr,,
EYGBS,0.051,FY26,Q1,May,,
EYGBS,0.0495,FY26,Q1,Jun,,
Fair Price (NTUC),0.0,FY26,Q1,Apr,,
Fair Price (NTUC),0.0,FY26,Q1,May,,
Fair Price (NTUC),0.0,FY26,Q1,Jun,,
Fastener Distribution Holdings,0.0,FY26,Q1,Apr,,
Fastener Distribution Holdings,0.0,FY26,Q1,May,,
Fastener Distribution Holdings,0.0,FY26,Q1,Jun,,
FDH Aero,0.0,FY26,Q1,Apr,,
FDH Aero,0.0,FY26,Q1,May,,
FDH Aero,0.0,FY26,Q1,Jun,,
Federated Services,0.0,FY26,Q1,Apr,,
Federated Services,0.0,FY26,Q1,May,,
Federated Services,0.0,FY26,Q1,Jun,,
Finlays,0.029,FY26,Q1,Apr,UK IRELAND,0.5
Finlays,0.02,FY26,Q1,May,UK IRELAND,0.5
Finlays,0.02,FY26,Q1,Jun,UK IRELAND,0.5
FJA,0.033,FY26,Q1,Apr,,
FJA,0.04,FY26,Q1,May,,
FJA,0.04,FY26,Q1,Jun,,
Fletcher,0.0099,FY26,Q1,Apr,,
Fletcher,0.002,FY26,Q1,May,,
Fletcher,0.002,FY26,Q1,Jun,,
Fountain Tire,0.0,FY26,Q1,Apr,US RMD,0.20570908
Fountain Tire,0.0,FY26,Q1,May,US RMD,0.20570908
