BU,Customer,RAC,Prism,PlanRevenue,Quarter,PlanCost
EU,Haldex Brake Products,Haldex Brake Products,Haldex Brake Products,0,Q3,0
ANZ,Harbour Guidance,Harbour Guidance Pty. Ltd.,Harbour Guidance,0.195270592,Q3,0.120484196
ANZ,Hastings Deering,Hastings Deering (Australia) Limited,Hastings Deering,0.569539227,Q3,0.240575801
US HLS,HCSC,HCSC,HCSC,0,Q3,0
US BFSI,HDFC Limited,HDFC Limited,HDFC Limited,0.017811516,Q3,0.007772525
APAC,Health & Glow Private limited,Health & Glow Private limited,Health & Glow Private limited,0,Q3,0
US HLS,HealthTrackRx,HealthTrackRx,HealthTrackRx,0,Q3,0
US RMD,Home Depot,Contractors Warehouse,Home Depot,0.85,Q3,0.421591801
US HLS,Honest Medical Group LLC,Honest Medical Group LLC,Honest Medical Group LLC,0.1,Q3,0.057142362
US RMD,Hoya Lens Singapore Pte Ltd,Hoya Lens Singapore Pte Ltd,Hoya Vision,0.085,Q3,0.04129154
APAC,Hoya Service Corporation Pentax Lifecare Division,Hoya Service Corporation Pentax Lifecare Division,Hoya Service Corporation Pentax Lifecare Division,0,Q3,0
UK IRELAND,HSO Solutions,HSO Solutions,HSO Solutions,0,Q3,0
US TMTE,i2i Population health,"i2i Systems, Inc. d.b.a i2i Population Health",i2i Population health,0.0825825,Q3,0.038512474
US BFSI,ICICI Bank Ltd.,ICICI Bank Ltd.,ICICI Bank Ltd.,0.281745795,Q3,0.138059478
US BFSI,Indospace Development Management Pvt Ltd,0,IndoSpace Development Management Pvt. Ltd.,0.032500233,Q3,0.016348096
US TMTE,Infinite Electronics,Infinite Electronics,Infinite Electronics,0,Q3,0
US TMTE,Informatica India,Informatica Business Solutions Pvt. Ltd.,Informatica India,0.292777175,Q3,0.204950018
US TMTE,Interdigital Administrative Solutions Inc_SOPL,Interdigital Administrative Solutions Inc_SOPL,Interdigital,0.04275,Q3,0.016613773
US RMD,International Automotive Components N.A. INC,International Automotive Components N.A. INC,IAC,0.025,Q3,0.0110196
APAC,ITC Infotech limited,ITC Infotech limited,ITC Infotech limited,0,Q3,0
US RMD,ITS Logistics,ITS Logistics LLC,ITS Logistics,0.95,Q3,0.505564637
US HLS,J & J,Johnson & Johnson Services,J & J,3.64,Q3,1.874180891
ANZ,JAMES GLEN PTY LTD,JAMES GLEN PTY LTD,JAMES GLEN PTY LTD,0,Q3,0
US RMD,Jockey International,"Jockey International, Inc.",Jockey International,0,Q3,0
US RMD,Jon Monroe Consulting,Jon Monroe Consulting,Jon Monroe Consulting,0.01,Q3,0.004725959
US HLS,Kaiser Permanente,Kaiser Permanente,Kaiser Permanente,0,Q3,0
US RMD,KLA Corporation,KLA Corporation,KLA Corporation,0.03,Q3,0.014573485
US TMTE,Kloud9 LLC,Kloud9 LLC,Kloud9,0.01,Q3,0.004857828
ANZ,Komatsu Australia Pty Ltd.,Komatsu Australia Pty Ltd.,Komatsu Australia,0.22015802,Q3,0.070389931
UK IRELAND,KPMG,KPMG,KPMG,0,Q3,0
US HLS,Kyowa Kirin Inc.,Kyowa Kirin Inc.,Kyowa Kirin,0.34,Q3,0.171569131
ANZ,Ladelle Pty Ltd,Ladelle Pty Ltd,Ladelle Pty Ltd,0,Q3,0
APAC,Landmark ,Landmark ,Landmark ,0,Q3,0
US HLS,Leiters Enterprises,Leiters Enterprises Inc,Leiters Enterprises,0.025,Q3,0.012144571
US HLS,Lifescan,LifeScan Global Corporation,Lifescan,0.1,Q3,0.034004798
US BFSI,Loan Depot,Loan Depot,LoanDepot,0.36,Q3,0.176257553
US TMTE,Logitec,Logitech  Inc,Logitec,0.149536,Q3,0.050849414
EU,Louis Dreyfus,Louis Dreyfus Company India Pvt Ltd,Louis Dreyfus,0.196736288,Q3,0.101322152
US RMD,Lowe's Services,Lowe’s Services India Private Ltd,Lowe’s Services,0.059263771,Q3,0.021547417
US BFSI,Mahindra & Mahindra FS,Mahindra & Mahindra Financial Services Limited,Mahindra & Mahindra FS,0.048576861,Q3,0.024289141
UK IRELAND,Mainstream Renewable Power,Mainstream Renewable Power Limited,Mainstream Renewable Power,0.028798961,Q3,0.012678932
APAC,Manipal Global Education Services,Manipal Global Education Services,Manipal Global Education Services,0,Q3,0
US RMD,Marketforce Information,Marketforce Information,Marketforce,0.1925,Q3,0.175804803
US RMD,Matson Navigation Company,Matson Navigation Company Inc.,Matson Navigation Company,2.2,Q3,1.209454446
US TMTE,Mattson Technology Inc,Mattson Technology Inc.,Mattson Technology Inc,0.2,Q3,0.129324698
ANZ,"mcaConnect, LLC","mcaConnect, LLC",MCA Connect ,0.02,Q3,0.0091
US HLS,Medidata,Medidata Solutions Inc.,Medidata,0.14,Q3,0.085554941
US TMTE,"Message Broadcast, LLC","Message Broadcast, LLC","Message Broadcast, LLC",0,Q3,0
ANZ,Metcash Limited ,Metcash Trading Limited,Metcash Limited ,0.019144176,Q3,0.010376156
US TMTE,"MetricStream, Inc.","MetricStream, Inc.",Metricstream,0.055,Q3,0.026718055
EU,METRO Cash & Carry India Pvt. Ltd.,METRO Cash & Carry India Pvt. Ltd.,Metro Cash & Carry,0.004857686,Q3,0.002623227
ANZ,Michael Hill,Michael Hill Jeweller (Australia) Pty Ltd,Michael Hill,0.18,Q3,0.069513309
APAC,Microsoft,Microsoft,Microsoft,0,Q3,0
MS Global,Microsoft Corporation,Microsoft Corporation,Microsoft Global Account,19.2,Q3,10.20725045
US RMD,Milton Cat,Southworth-Milton Inc,Milton Cat,0,Q3,0
US RMD,Milwaukee Electric Tool Corporation,Milwaukee Electric Tool Corporation,Milwaukee Electric Tool,0.02,Q3,0.005364985
US TMTE,MSIG,MSIG Asia Pte. Ltd.,MSIG,0.034975277,Q3,0.023803358
APAC,Music Tribe,Music Tribe,Music Tribe,0,Q3,0
US BFSI,NACHA,NACHA,NACHA,0.11,Q3,0.044886333
ANZ,NBD - Sonata - ANZ,NBD - Sonata - ANZ,NBD - Sonata - ANZ,0.542737381,Q3,0.286875594
EU,NBD - Sonata - EU,NBD - Sonata - EU,NBD - Sonata - EU,0.268128259,Q3,0.131353294
UK IRELAND,NBD - Sonata - UK,NBD - Sonata - UK,NBD - Sonata - UK,0.572359454,Q3,0.261539003
US BFSI,NBD - Sonata - US BFSI,NBD - Sonata - US BFSI,NBD - Sonata - US BFSI,0.245,Q3,0.12276668
US HLS,NBD - Sonata - US HLS,NBD - Sonata - US HLS,NBD - Sonata - US HLS,1.056356091,Q3,0.493354141
US RMD,NBD - Sonata - US Retail & Mfg,NBD - Sonata - US Retail & Mfg,NBD - Sonata - US Retail & Mfg,0.96903196,Q3,0.452570808
US TMTE,NBD - Sonata - US TMTE,NBD - Sonata - US TMTE,NBD - Sonata - US TMTE,0.516683805,Q3,0.261417942
UK IRELAND,NCC Group,NCC Group,NCC Group,0,Q3,0
APAC,Ncr Corporation,Ncr Corporation,Ncr Corporation,0,Q3,0
APAC,NEC Asia Pacific Pte. Ltd.,NEC Asia Pacific Pte. Ltd.,NEC Asia Pacific Pte. Ltd.,0,Q3,0
EU,Nibe,Nibe,Nibe,0,Q3,0
EU,Normet,Normet OY,Normet,1.052651685,Q3,0.464629925
US BFSI,Northern Trust,Northern Trust,Northern Trust,0.12,Q3,0.023317575
ANZ,NSW Ports ,NSW Ports ,NSW Ports ,0.047860439,Q3,0.024289141
APAC,NTT DATA Services,NTT DATA Services,NTT DATA Services,0,Q3,0
UK IRELAND,Oasis Group ,Offsite Archive Storage and Integrated ServicesLtd,Oasis Group ,0.019861353,Q3,0.009715656
US TMTE,Omnicom,Omnicom Group Inc.,Omnicom,0.44966,Q3,0.152905973
ANZ,On The Run Pty Ltd,On The Run Pty Ltd,Peregrine,0.095720878,Q3,0.05
APAC,Oracle India,Oracle India,Oracle India,0,Q3,0
APAC,Others,Others,Others,0,Q3,0
ANZ,Others,Others,Others,0,Q3,0.170995553
US BFSI,Others,Others,Others,0,Q3,0.184597473
EU,Others,Others,Others,0,Q3,0.126303534
US HLS,Others,Others,Others,0,Q3,0.043137515
US RMD,Others,Others,Others,0,Q3,0.291469693
US TMTE,Others,Others,Others,0,Q3,0.029146969
UK IRELAND,Others,Others,Others,0,Q3,0.281754037
Sonata CX,Others,Others,Others,2.237307,Q3,1.295400753
UK IRELAND,P&O Ferries Division,P&O Ferries Division Holdings Ltd.,P&O Ferries Division,0.080743566,Q3,0.030701474
US HLS,Parata Systems,Parata Systems LLC,Parata Systems,0.035,Q3,0.025261587
US BFSI,Pennymac,Pennymac,Pennymac,4,Q3,1.781160455
UK IRELAND,Peppermint,Peppermint Technology Ltd,Peppermint,0.132869159,Q3,0.063151767
UK IRELAND,PepsiCo,PepsiCo International Limited,PepsiCo,0.18,Q3,0.078696817
ANZ,PNG Data Co,0,PNG Data Co,0.057432527,Q3,0.046635151
US RMD,Polypore,Polypore,Polypore,0,Q3,0
ANZ,Pope Packaging,OE & DR Pope Pty Ltd,Pope Packaging,0.062218571,Q3,0.031864974
US BFSI,"Precision Autonomy Services, Inc","Precision Autonomy Services, Inc",Precision Autonomy,0,Q3,0
UK IRELAND,Premier Lotteries Ireland DAC,Premier Lotteries Ireland DAC,Premier Lotteries Ireland DAC ,0.055611787,Q3,0.027203838
UK IRELAND,Primeline Group Ltd,Primeline Group Ltd,Primeline,0.074480072,Q3,0.040077083
US RMD,Print Syndicate,Print Syndicate,Print Syndicate,0,Q3,0
US HLS,Prodigy Healthcare,Prodigy Healthcare,Prodigy Healthcare,0.01,Q3,0.003364685
APAC,Qatar Airways,Qatar Airways,Qatar Airways,0,Q3,0
US RMD,Quarkcity India Pvt. Ltd,Quarkcity India Pvt. Ltd,QuarkCity,0.003206073,Q3,0.001282467
ANZ,RACQ,RACQ,RACQ,0,Q3,0
APAC,Ralph Lauren Sourcing India LLP,Ralph Lauren Sourcing India LLP,Ralph Lauren Sourcing India LLP,0,Q3,0
US RMD,Rambus Inc.,Rambus Inc.,Rambus,0.025,Q3,0.01232381
APAC,Randstad,Randstad,Randstad,0,Q3,0
APAC,Ranstad (Walmart India),Ranstad (Walmart India),Ranstad (Walmart India),0,Q3,0
US HLS,Red Hill Ventures LLC,Red Hill Ventures LLC,Red Hill Ventures,0,Q3,0
US BFSI,Republic Financial Holdings Limited,Republic Financial Holdings Limited,Republic Bank,0.61,Q3,0.292469463
US RMD,Reynolds Consumer Products LLC,Reynolds Consumer Products LLC,Reynolds Consumer products ,0.095,Q3,0.037489276
US RMD,Ricetec,Ricetec,Ricetec,0.0125,Q3,0.006072285
ANZ,Ridley,Ridley AgriProducts Pty Ltd,Ridley,0.038288351,Q3,0.029146969
US RMD,Ring Publications LLC,Ring Publications LLC,Ring Publications LLC,0.012,Q3,0.011134142
EU,R-kioski,R-kioski,R-kioski,0,Q3,0
ANZ,Ronstan International Pty Ltd,Ronstan International Pty Ltd,Ronstan,0.019144176,Q3,0.015
US TMTE,Sage Software,Sage Global Services Limited,Sage Software,0.08,Q3,0.046635151
APAC,Samsung Group,Samsung Group,Samsung Group,0,Q3,0
ANZ,Sanford Australia,Sanford Australia Pty. Ltd.,Sanford Australia Pty. Ltd.,0,Q3,0
APAC,SAP,SAP,SAP,0,Q3,0
US RMD,Savannah Seeds Private Limited,Savannah Seeds Private Limited,Savannah Seeds Private Limited,0,Q3,0
ANZ,SCALZO TRADING CO. PROPRIETARY LIMITED,SCALZO TRADING CO. PROPRIETARY LIMITED,SCALZO,0.004786044,Q3,0.0025
US TMTE,SCE ,SCE ,SCE ,0,Q3,0
US TMTE,SCS Software,SCS Software,SCS Software,0,Q3,0
US RMD,Shamrock Foods Company,Shamrock Foods Company,Shamrock Foods Company,0.05,Q3,0.025260707
ANZ,Sime Darby Industrial Solutions,Sime Darby Industrial Solutions,Sime Darby Industrial Solutions,0,Q3,0
US TMTE,Sinequa,Sinequa Corp,Sinequa,0.01,Q3,0.001943131
US RMD,Sleep Number Corporation,Sleep Number Corporation,Sleep Number Corporation,0.05,Q3,0.025260707
ANZ,Small Accounts - ANZ,Small Accounts - ANZ,Small Accounts - ANZ,0,Q3,0
APAC,Software AG,Software AG,Software AG,0,Q3,0
US TMTE,Solera Auto Finance LLC,Solera Auto Finance LLC,Solera Auto Finance,0.006225,Q3,0.003628798
US HLS,Solta Medical Inc.,Solta Medical Inc.,Solta Medical Inc.,0,Q3,0
US TMTE,Sony,Sony India Software Centre Pvt Ltd,Sony,0.616601125,Q3,0.39771936
ANZ,Spotlight,Spotlight Pty ltd,Spotlight,0.191441757,Q3,0.097694015
US TMTE,St. Petersburg College,St. Petersburg College,St. Petersburg College,0,Q3,0
ANZ,Stockland Land Lease Management Pty Ltd,Stockland Land Lease Management Pty Ltd,Stocklan Halcyon,0,Q3,0
US RMD,Stockton Soda,Stockton Soda,Stockton Soda,0.15,Q3,0.058293939
US HLS,SunMed Group Holdings LLC dba AirLife,SunMed Group Holdings LLC dba AirLife,Airlife,0.125,Q3,0.118409563
EU,Sunrise,Sunrise Communications AG,Sunrise,0.059430223,Q3,0.014573485
ANZ,Support,Support,Support,0,Q3,0
US BFSI,Symetra Life Insurance Company,Symetra Life Insurance Company,Symetra,0.21,Q3,0.097392517
US BFSI,TATA Motors Finance Limited.,TATA Motors Finance Limited,TATA Motors Finance Limited.,0.036432646,Q3,0.01991293
US TMTE,Terra Millennium Corp,Terra Millennium Corp,Terra Millennium Corp,0,Q3,0
ANZ,TerryWhite Chemmart,TerryWhite Chemmart Pty Ltd,TerryWhite Chemmart,0.35416725,Q3,0.202023638
UK IRELAND,Tesco,Tesco Bengaluru Pvt Ltd,Tesco,0.145730584,Q3,0.080154166
US HLS,The Oved Group,The Oved Group,The Oved Group,0,Q3,0
US RMD,The Timken Company,The Timken Company,Timken,0.11,Q3,0.065580681
US HLS,Theravance Biopharma US Inc,Theravance Biopharma US Inc,Theravance,0.03,Q3,0.014591604
US TMTE,Thought Stream,Thought Stream,Thought Stream,0,Q3,0
US RMD,TMS,TMS International LLC,TMS,0.57,Q3,0.25023
UK IRELAND,TORI Global,TORI Limited,TORI Global,0.051103523,Q3,0.024289141
ANZ,Total Beauty Network,Total Beauty Network,TBN,0.057432527,Q3,0.035870235
US HLS,Trident USA Health Service,Trident USA Health Service,Trident USA Health Service,0.2,Q3,0.097796867
APAC,True North,True North,True North,0,Q3,0
UK IRELAND,TUI UK,TUI,TUI UK,5.489180454,Q3,3.573310438
APAC,TVS Group,TVS Group,TVS Group,0,Q3,0
US TMTE,UKG Inc,UKG Inc,UKG Inc,0.05,Q3,0.026826875
APAC,Unilever,Unilever,Unilever,0,Q3,0
US RMD,UniPro Foodservice,UniPro Foodservice,UniPro Foodservice,0.05,Q3,0.043720454
US TMTE,United Teachers Los Angeles,United Teachers Los Angeles,United Teachers Los Angeles,0,Q3,0
ANZ,Uniting Church,The Uniting Church in Australia Property Trust,UCA,0.114865054,Q3,0.048
US TMTE,University of Texas SouthWestern Medical Center,University of Texas SouthWestern Medical Center,University of Texas SouthWestern Medical Center,0,Q3,0
US RMD,Ventura Foods,"Ventura Foods, LLC",Ventura Foods,1.2,Q3,0.59485408
ANZ,Walz Group Pty Ltd,Walz Group Pty Ltd,Walz Group Pty Ltd,0,Q3,0
US HLS,Wavetec/Alcon,Wavetec/Alcon,Wavetec/Alcon,0,Q3,0
US RMD,Westway Feeds,Westway Feeds,Westway Feeds,0,Q3,0
EU,Widex,Widex A/S,Widex,0.422053742,Q3,0.200263969
US TMTE,Wolters Kluver,"Wolters Kluwer DXG U.S., Inc.",Wolters Kluver,0.15,Q3,0.072867423
US TMTE,World Vision Canada,World Vision Canada,World Vision Canada,0.107285722,Q3,0.054562003
ANZ,XL Express (WMH) Pty Ltd,XL Express (WMH) Pty Ltd,XL Express (WMH) Pty Ltd,0,Q3,0
US RMD,Zones,Zones LLC,Zones,0.65,Q3,0.416493242
US RMD,Zones,Zones LLC,Zones,0.65,Q3,0
US RMD,Zones,Zones LLC,Zones,0,Q3,0.416493242
US RMD,Zones,Zones LLC,Zones,0,Q3,0
US TMTE,Zuora Inc.,Zuora Inc.,Zuora,0.045,Q3,0.018362591
US RMD,"Outform Group, Inc","Outform Group, Inc",,0,Q3,0
US RMD,Tempur-Pedic,Tempur-Pedic,,0,Q3,0
US BFSI,Franklin Templeton,Franklin Templeton,,0,Q3,0
US HLS,"DirectMed Imaging, LLC","DirectMed Imaging, LLC",,0,Q3,0
US RMD,UniPro Foodservice Inc.,UniPro Foodservice Inc.,,0,Q3,0
UK IRELAND,The London Clinic,The London Clinic,,0,Q3,0
ANZ,Bluechip Infotech Pty Ltd,Bluechip Infotech Pty Ltd,,0,Q3,0
US BFSI,HDFC LIFE INSURANCE COMPANY LIMITED,HDFC LIFE INSURANCE COMPANY LIMITED,,0,Q3,0
US HLS,Prodigy Healthcare LLC,Prodigy Healthcare LLC,,0,Q3,0
Others,Others,Others,Others,0,Q3,0
US RMD,Zurn Industries,Zurn Water LLC_SSNA,Zurn Industries,0.3,Q3,0.102161035
EU,Aareon,Aareon Nederland B.V.,Aareon,0.228405554,Q4,0.080445635
US RMD,ABFRL,Aditya Birla Fashion & Retail Limited,ABFRL,0.446907123,Q4,0.348597753
US TMTE,ACTS,Acts Retirement-Life Communities Inc.,ACTS,0.1,Q4,0.052852492
US RMD,Advance Auto Business Support LLC,Advance Auto Business Support LLC,Advance Auto Business Support LLC,0,Q4,0
US HLS,Aledade Inc,Aledade Inc,Aledade,0.207,Q4,0.105777
ANZ,Allied Pinnacle Pty Ltd,Allied Pinnacle Pty Ltd,Allied Pinnacle,0.006030415,Q4,0.003465
US RMD,Alltech Inc.,Alltech Inc.,AllTech,0.2,Q4,0.077725252
US RMD,Alpha Luna,Alpha Luna,Alpha Luna,0.09,Q4,0.043786511
US HLS,Alteon Health,Alteon Health,Alteon Health,0,Q4,0
US BFSI,Amalgamated Bank,Amalgamated Bank,Amalgamated Bank,0,Q4,0
EU,Ammega Group,Ammega Group B.V.,Ammega Group,1.161889124,Q4,0.571364449
EU,APAC NBD,APAC NBD,APAC NBD,0.040163989,Q4,0.022492492
UK IRELAND,APAC NBD,APAC NBD,APAC NBD,0.081545069,Q4,0.052190371
US BFSI,APAC NBD,APAC NBD,APAC NBD,0.121709059,Q4,0.077725252
US RMD,APAC NBD,APAC NBD,APAC NBD,0.121709059,Q4,0.073027572
US TMTE,APAC NBD,APAC NBD,APAC NBD,0.188649041,Q4,0.113192736
UK IRELAND,Apogee Corporation,Apogee Corporation,Apogee Corporation,0.362835011,Q4,0.190857345
US HLS,Appian RX,Appian RX,Appian RX,0,Q4,0
US TMTE,Applied Systems,"Applied Systems, Inc.",Applied Systems,0.05,Q4,0.026930374
US TMTE,Aquent,Aquent LLC,Aquent,0.21,Q4,0.118886225
US TMTE,Aristocrat Technologies,Aristocrat Technologies India Private Limited,Aristocrat Technologies,0.051005704,Q4,0.028053958
EU,ARTIN Solutions,ARTIN,ARTIN Solutions,0.039722705,Q4,0.019431313
US HLS,Aspen Surgical Products Inc,Aspen Surgical Products Inc,Aspen Surgical Products Inc,0,Q4,0
EU,Assa Abloy,Assa Abloy Limited,Assa Abloy,0,Q4,0
ANZ,Assa Abloy ANZ,ASSA ABLOY Australia Pty Ltd,Assa Abloy ANZ,1.015,Q4,0.52166514
US HLS,AstraZeneca,AstraZeneca,AstraZeneca,0,Q4,0
US HLS,Audax Management Company LLC,Audax Management Company LLC,Audax Management Company LLC,0,Q4,0
ANZ,Ausfine,Ausfine,Ausfine,0,Q4,0
ANZ,Ausreo Pty Ltd,Ausreo Pty Ltd,Ausreo,0.06317578,Q4,0.04224
ANZ,Australian Pharmaceutical Industries Pty Ltd,Australian Pharmaceutical Industries Pty Ltd,Wesfarers Health,0.335023075,Q4,0.13601919
US RMD,AWS,AWS,AWS,0,Q4,0
US HLS,"Azurity Pharmaceuticals, Inc.","Azurity Pharmaceuticals, Inc.","Azurity Pharmaceuticals, Inc.",0,Q4,0
UK IRELAND,Bayer,Bayer U.S. LLC,Bayer,0.7,Q4,0.384254212
ANZ,Beaumont,Beaumont,0,0,Q4,0
US RMD,Ben Bridge,Ben Bridge,BenBridge,0.25,Q4,0.084861213
UK IRELAND,Berry Global,RPC Group Limited,Berry Global,0.664345795,Q4,0.313141565
US HLS,"Biomatrix Specialty Pharmacy, LLC","Biomatrix Specialty Pharmacy, LLC",Biomatrix,0.04,Q4,0.03789106
US TMTE,Blackjewel,Blackjewel,Blackjewel,0,Q4,0
ANZ,Bluechip International ,Bluechip International ,Bluechip International ,0.009572088,Q4,0.006315177
EU,Blueleaf Energy,Blueleaf Energy Private Ltd,Blueleaf Energy,0.084939959,Q4,0.050788594
US RMD,Bluestem Brands,Bluestem,Bluestem Brands,3.41,Q4,1.901944964
ANZ,BUS QLD,Westside Bus Co Pty Ltd,BUS QLD,0.051,Q4,0.02652
US RMD,Cajun Operating Company,Cajun Operating Company,Cajun,0.135,Q4,0.041971636
US HLS,Caravel Autism Health,Caravel Autism Health LLC,Caravel Autism Health,0.074,Q4,0.061745269
UK IRELAND,Carbery Food Ingredients ,Carbery Food Ingredients ,Carbery Food Ingredients ,0,Q4,0
ANZ,Cardtronics Australasia Pty Ltd,Cardtronics Australasia Pty Ltd,Cardtronics Helpdesk,0.000957209,Q4,0.0005
UK IRELAND,Carpet Right,Carpet Right,Carpet Right,0,Q4,0
US BFSI,Carshield,Carshield,Carshield,0,Q4,0
ANZ,Castlegate James Australasia Pty Ltd,Castlegate James Australasia Pty Ltd,Castlegate James,0.076576703,Q4,0.056
UK IRELAND,CBRE Group,CBRE Group,CBRE Group,0,Q4,0
ANZ,Centor Australia Pty Ltd,Centor Australia Pty Ltd,Centor ,0,Q4,0
US TMTE,CEPC,CEPC,CEPC,0,Q4,0
ANZ,Cheetham Salt,CHEETHAM SALT LIMITED,Cheetham Salt,0.13400923,Q4,0.084
ANZ,Chemist Warehouse,Chemist Warehouse Retail Services Pty Ltd,Chemist Warehouse,0,Q4,0
US RMD,Cherry America,Cherry America Ltd.,Cherry America,0.005,Q4,0.001943131
US TMTE,Chevron,Chevron,Chevron,0,Q4,0
US RMD,Christian Dior Perfumes LLC,Christian Dior Perfumes LLC,Christian Dior,0,Q4,0
US TMTE,Cloud 3 Technologies,"Cloud 3 Technologies, LLC.",Cloud 3 Technologies,0.05,Q4,0.020402879
US TMTE,CloudLex Inc.,CloudLex Inc.,CloudLex,0.025,Q4,0.004857828
US RMD,CMC,CMC Group Inc.,CMC,0.45,Q4,0.11454759
ANZ,Cogstate,Cogstate,Cogstate,0,Q4,0
APAC,Collabera Technologies Private Limited,EYGBS (India) LLP,EYGBS,0,Q4,0
UK IRELAND,Computacenter India,Computacenter India Private Limited,Computacenter India,0.074978537,Q4,0.048737475
